"Marker","pAUC","pAUC_low","pAUC_hi","Biomarker"
"IGSF3",0.0123015873015873,0.00178571428571429,0.0321448412698409,"No"
"IGSF8",0.0182539682539682,0.00615079365079365,0.035515873015873,"Yes"
"IKBKG",0.0192460317460317,0.00138888888888889,0.044643849206349,"No"
"IKZF2",0.00932539682539682,0.00099206349206349,0.0261914682539681,"No"
"IL10",0.0125,0.00277777777777778,0.0261904761904762,"No"
"IL10RA",0.00436507936507936,0,0.0198412698412698,"No"
"IL10RB",0.00932539682539682,0.000992063492063492,0.0263888888888889,"No"
"IL11",0.00912698412698412,0.000595238095238095,0.0257936507936508,"No"
"IL12A_IL12B",0.0218253968253968,0.00873015873015873,0.0380952380952381,"Yes"
"IL12B",0.0226190476190476,0.00853075396825397,0.0406755952380951,"Yes"
"IL12RB1",0.00773809523809524,0,0.0337301587301587,"No"
"IL13",0.00634920634920635,0,0.0228194444444441,"No"
"IL13RA1",0.0138888888888889,0.000595238095238095,0.0327380952380952,"No"
"IL15",0.00496031746031746,0,0.0200396825396825,"No"
"IL15RA",0.00734126984126984,0,0.021627976190476,"No"
"IL16",0.0216269841269841,0.00436507936507936,0.0438492063492063,"No"
"IL17A",0.00496031746031746,0,0.0182539682539683,"No"
"IL17C",0.00138888888888889,0,0.0107142857142857,"No"
"IL17D",0.00992063492063491,0,0.0309523809523809,"No"
"IL17F",0.00119047619047619,0,0.016468253968254,"No"
"IL17RA",0.00694444444444445,0,0.0242063492063492,"No"
"IL17RB",0.00833333333333333,0,0.0232142857142857,"No"
"IL18",0.0170634920634921,0.00496031746031746,0.0339285714285714,"No"
"IL18BP",0.0174603174603175,0.00535714285714286,0.0343253968253968,"Yes"
"IL18R1",0.0224206349206349,0.00575396825396826,0.0446428571428571,"Yes"
"IL18RAP",0.00476190476190476,0,0.0178581349206348,"No"
"IL19",0.00257936507936507,0,0.0115089285714284,"No"
"IL1A",0.0130952380952381,0.00277777777777777,0.0303571428571428,"No"
"IL1B",0.00813492063492063,0,0.0289692460317459,"No"
"IL1R1",0.00317460317460317,0,0.0224206349206349,"No"
"IL1R2",0.00238095238095238,0,0.0188492063492063,"No"
"IL1RAP",0.019047619047619,0.00496031746031745,0.0388888888888889,"No"
"IL1RL1",0.00297619047619048,0,0.0158730158730159,"No"
"IL1RL2",0.010515873015873,0.000792658730158737,0.0317460317460317,"No"
"IL1RN",0.0214285714285714,0.00634920634920635,0.0472222222222222,"Yes"
"IL2",0.0140873015873016,0.00297619047619048,0.0333343253968252,"No"
"IL20",0.00238095238095238,0,0.0160714285714286,"No"
"IL20RA",0.00992063492063491,0,0.0333333333333333,"No"
"IL22RA1",0.00674603174603175,0,0.021031746031746,"No"
"IL24",0.00257936507936507,0,0.0192460317460317,"No"
"IL2RA",0.0111111111111111,0.00158730158730159,0.0287698412698413,"No"
"IL2RB",0.00297619047619048,0,0.0180555555555555,"No"
"IL32",0.0130952380952381,0.00317460317460317,0.0281746031746032,"No"
"IL33",0.00992063492063492,0,0.0333343253968252,"No"
"IL34",0.00634920634920635,0,0.0226190476190476,"No"
"IL3RA",0.0142857142857143,0.00357142857142857,0.0293660714285713,"No"
"IL4",0.00595238095238095,0,0.0303571428571428,"No"
"IL4R",0.00555555555555555,0,0.0244057539682538,"No"
"IL5",0.00208333333333333,0,0.016468253968254,"No"
"IL5RA",0.00198412698412698,0,0.0180565476190475,"No"
"IL6",0.0109126984126984,0.00178571428571429,0.0319444444444444,"No"
"IL6R",0.00297619047619048,0,0.0132936507936508,"No"
"IL6ST",0.00555555555555555,0,0.0240079365079365,"No"
"IL7",0.0130952380952381,0.00257936507936508,0.0281755952380951,"No"
"IL7R",0.0136904761904762,0.00218253968253968,0.0307539682539682,"No"
"ILKAP",0.0113095238095238,0,0.0386914682539681,"No"
"IMPA1",0.0101190476190476,0,0.0345238095238095,"No"
"ING1",0.0115079365079365,0,0.0384930555555554,"No"
"INHBC",0.0206349206349206,0.00238095238095237,0.0406746031746032,"No"
"INPP1",0.0166666666666667,0.00476190476190476,0.033531746031746,"No"
"INPPL1",0.00575396825396825,0,0.0240079365079365,"No"
"IPCEF1",0.0182539682539683,0,0.0476200396825395,"No"
"IQGAP2",0.00317460317460317,0,0.0160714285714286,"No"
"IRAK1",0.00892857142857143,0,0.0248015873015873,"No"
"IRAK4",0.0134920634920635,0.000992063492063489,0.032143849206349,"No"
"ISLR2",0.00952380952380952,0,0.0267857142857143,"No"
"ISM1",0.0202380952380952,0.00714285714285714,0.0375,"Yes"
"ITGA11",0.00575396825396824,0,0.0232152777777776,"No"
"ITGA5",0.00793650793650793,0,0.0313492063492063,"No"
"ITGA6",0.00357142857142857,0,0.0152777777777778,"No"
"ITGAM",0.0196428571428571,0.00138888888888888,0.0446428571428571,"No"
"ITGAV",0.00456349206349206,0,0.0200416666666663,"No"
"ITGB1",0.00694444444444445,0,0.0242063492063492,"No"
"ITGB1BP1",0.010515873015873,0.000595238095238095,0.0349206349206349,"No"
"ITGB1BP2",0.00277777777777778,0,0.0146825396825397,"No"
"ITGB2",0.0146825396825397,0.00357142857142857,0.0339285714285714,"No"
"ITGB5",0,0,0.0101190476190476,"No"
"ITGB6",0.00833333333333333,0.000595238095238095,0.0212311507936506,"No"
"ITGB7",0,0,0.0101190476190476,"No"
"ITIH3",0.00357142857142857,0,0.015080357142857,"No"
"ITM2A",0.00238095238095238,0,0.0158730158730159,"No"
"IVD",0.00357142857142857,0,0.0156746031746032,"No"
"JAM2",0.00952380952380952,0,0.0388898809523808,"No"
"JCHAIN",0.00357142857142857,0,0.0162698412698413,"No"
"JUN",0.00753968253968254,0,0.0255952380952381,"No"
"KAZALD1",0.00833333333333333,0,0.0281755952380951,"No"
"KCNIP4",0.0107142857142857,0,0.0329374999999998,"No"
"KDR",0.00634920634920635,0,0.0202380952380952,"No"
"KEL",0.0186507936507936,0.00555456349206349,0.0361111111111111,"Yes"
"KIFBP",0.00198412698412698,0,0.0174613095238094,"No"
"KIR2DL3",0.0180555555555555,0.00317460317460317,0.0384930555555554,"No"
"KIR3DL1",0.00238095238095238,0,0.0172638888888886,"No"
"KIRREL2",0.0130952380952381,0.00277777777777778,0.0287708333333332,"No"
"KIT",0.00357142857142857,0,0.0162698412698413,"No"
"KITLG",0.0113095238095238,0.000396825396825395,0.0363095238095238,"No"
"KLB",0.00555555555555556,0,0.0192470238095236,"No"
"KLK1",0.00813492063492063,0.000198412698412698,0.0220238095238095,"No"
"KLK10",0.00615079365079365,0,0.0208343253968252,"No"
"KLK11",0.0146825396825397,0.00257936507936508,0.0349216269841268,"No"
"KLK12",0.00595238095238095,0,0.0220238095238095,"No"
"KLK13",0.00952380952380952,0.00119047619047619,0.0246031746031746,"No"
"KLK14",0.00793650793650794,0.000198412698412698,0.0212311507936506,"No"
"KLK4",0.00763888888888889,0,0.0263898809523808,"No"
"KLK6",0.00595238095238095,0,0.0236111111111111,"No"
"KLK8",0.00595238095238095,0,0.0204374999999998,"No"
"KLRB1",0.00793650793650793,0,0.0291666666666667,"No"
"KLRD1",0.0107142857142857,0.000595238095238093,0.0299603174603174,"No"
"KRT14",0.0251984126984127,0.00714285714285714,0.0498015873015873,"Yes"
"KRT18",0.00734126984126984,0,0.0250019841269838,"No"
"KRT19",0.00912698412698412,0.000992063492063492,0.023612103174603,"No"
"KRT5",0.0125,0.000595238095238093,0.0488095238095238,"No"
"KYAT1",0.0107142857142857,0.000595238095238093,0.0285724206349205,"No"
"KYNU",0.00119047619047619,0,0.0180555555555555,"No"
"L1CAM",0.00912698412698412,0.000594246031746039,0.025,"No"
"LACTB2",0.0196428571428571,0.00277777777777778,0.0448412698412698,"No"
"LAG3",0.0142857142857143,0.00357142857142857,0.0299603174603175,"No"
"LAIR1",0.00694444444444444,0,0.0388888888888889,"No"
"LAIR2",0.0113095238095238,0.00178571428571429,0.025,"No"
"LAMA4",0.00555555555555555,0,0.0226200396825395,"No"
"LAMP2",0.00555555555555555,0,0.0273829365079362,"No"
"LAMP3",0.0113095238095238,0.000992063492063489,0.0309523809523809,"No"
"LAP3",0.0156746031746032,0.000992063492063492,0.0396825396825397,"No"
"LAT",0.00198412698412698,0,0.0101190476190476,"No"
"LAT2",0.00833333333333333,0,0.0309523809523809,"No"
"LAYN",0.0119047619047619,0.00178571428571429,0.0301587301587301,"No"
"LBP",0.0125,0.00178571428571429,0.0337301587301587,"No"
"LBR",0.0156746031746032,0,0.0434523809523809,"No"
"LCN2",0.0196428571428571,0.000793650793650791,0.0464285714285714,"No"
"LDLR",0.0178571428571429,0.00535714285714286,0.0349206349206349,"Yes"
"LEFTY2",0.0136904761904762,0.00357142857142857,0.0343253968253968,"No"
"LEP",0.0198412698412698,0.00535714285714286,0.0434523809523809,"Yes"
"LEPR",0.0107142857142857,0.000793650793650791,0.0253968253968254,"No"
"LGALS1",0.0218253968253968,0.00357142857142857,0.0446428571428571,"No"
"LGALS3",0.00833333333333333,0,0.0273809523809524,"No"
"LGALS4",0.0117063492063492,0.00099206349206349,0.0347222222222222,"No"
"LGALS7_LGALS7B",0.00853174603174603,0,0.0273809523809524,"No"
"LGALS8",0.00853174603174603,0.000396825396825395,0.0289692460317459,"No"
"LGALS9",0.0299603174603175,0.0142857142857143,0.048612103174603,"Yes"
"LGMN",0.00416666666666667,0,0.0152787698412697,"No"
"LHB",0.00634920634920635,0,0.0220238095238095,"No"
"LHPP",0.00873015873015873,0.000396825396825395,0.0289692460317459,"No"
"LIF",0.0148809523809524,0.00118948412698413,0.039484126984127,"No"
"LIFR",0.00257936507936508,0,0.0117063492063492,"No"
"LILRA2",0.016468253968254,0.0049593253968254,0.0378978174603173,"No"
"LILRA5",0.00813492063492063,0,0.0345238095238095,"No"
"LILRB1",0.00535714285714286,0,0.0200396825396825,"No"
"LILRB2",0.0113095238095238,0.00178571428571429,0.026984126984127,"No"
"LILRB4",0.00773809523809524,0,0.0242063492063492,"No"
"LILRB5",0.00853174603174603,0,0.0255952380952381,"No"
"LPCAT2",0.014484126984127,0.00238095238095238,0.0380952380952381,"No"
"LPL",0.00912698412698412,0.000992063492063492,0.0226200396825395,"No"
"LPO",0.0158730158730159,0.00178571428571429,0.0365079365079365,"No"
"LRIG1",0.00416666666666667,0,0.0212301587301587,"No"
"LRMP",0.019047619047619,0.00218253968253967,0.0388888888888889,"No"
"LRP1",0.00198412698412698,0,0.0178571428571429,"No"
"LRP11",0.00654761904761905,0,0.0196428571428571,"No"
"LRPAP1",0.00634920634920635,0,0.0216269841269841,"No"
"LRRC25",0.0128968253968254,0.00198412698412698,0.0317460317460317,"No"
"LRRN1",0.00317460317460318,0,0.0148819444444443,"No"
"LSM1",0.0125,0.00119047619047619,0.0363095238095238,"No"
"LSP1",0.0222222222222222,0.00257837301587302,0.0535714285714286,"No"
"LTA",0.0121031746031746,0.000793650793650791,0.0325406746031744,"No"
"LTA4H",0.0117063492063492,0.00119047619047619,0.0285714285714286,"No"
"LTBP2",0.00654761904761905,0,0.0291676587301586,"No"
"LTBP3",0.00615079365079365,0,0.0244047619047619,"No"
"LTBR",0.0162698412698413,0.00198313492063492,0.0412698412698413,"No"
"LTO1",0.00714285714285714,0,0.0206349206349206,"No"
"LXN",0.0214285714285714,0.00793650793650793,0.0408740079365078,"Yes"
"LY6D",0.0134920634920635,0.00138888888888889,0.0343263888888887,"No"
"LY75",0.00178571428571429,0,0.00793650793650793,"No"
"LY9",0.0113095238095238,0.00178571428571429,0.025,"No"
"LY96",0.0156746031746032,0.00396825396825397,0.0317470238095236,"No"
"LYAR",0.00535714285714286,0,0.0240079365079365,"No"
"LYN",0.0132936507936508,0.000396825396825395,0.0404761904761905,"No"
"LYPD1",0.00317460317460317,0,0.025,"No"
"LYPD3",0.00634920634920635,0,0.0174603174603175,"No"
"LYPD8",0,0,0.021031746031746,"No"
"MAD1L1",0.016468253968254,0.00178571428571428,0.0476190476190476,"No"
"MAEA",0.00912698412698413,0,0.0301597222222221,"No"
